2022-07-15 03:27:34,084 | DEBUG    | _new_conn            | 939 | Starting new HTTPS connection (1): 10.10.20.90:443
2022-07-15 03:27:34,931 | DEBUG    | _make_request        | 433 | https://10.10.20.90:443 "POST /j_security_check HTTP/1.1" 200 0
2022-07-15 03:27:34,935 | DEBUG    | _new_conn            | 939 | Starting new HTTPS connection (1): 10.10.20.90:443
2022-07-15 03:27:35,738 | DEBUG    | _make_request        | 433 | https://10.10.20.90:443 "GET /dataservice/client/token HTTP/1.1" 200 None
2022-07-15 03:27:35,742 | DEBUG    | _new_conn            | 939 | Starting new HTTPS connection (1): 10.10.20.90:443
2022-07-15 03:27:36,589 | DEBUG    | _make_request        | 433 | https://10.10.20.90:443 "GET /dataservice/template/policy/definition/approute HTTP/1.1" 200 None
2022-07-15 03:27:36,594 | DEBUG    | _new_conn            | 939 | Starting new HTTPS connection (1): 10.10.20.90:443
2022-07-15 03:27:37,407 | DEBUG    | _make_request        | 433 | https://10.10.20.90:443 "GET /dataservice/template/policy/definition/approute/fbef9dbe-18de-442a-af74-19926492047c HTTP/1.1" 200 None
2022-07-15 03:27:37,412 | DEBUG    | _new_conn            | 939 | Starting new HTTPS connection (1): 10.10.20.90:443
2022-07-15 03:27:38,358 | DEBUG    | _make_request        | 433 | https://10.10.20.90:443 "PUT /dataservice/template/policy/definition/approute/fbef9dbe-18de-442a-af74-19926492047c HTTP/1.1" 200 None
2022-07-15 03:28:06,599 | INFO     | <module>             | 152 | Loading vManage login details from YAML

2022-07-15 03:28:06,609 | DEBUG    | _new_conn            | 939 | Starting new HTTPS connection (1): 10.10.20.90:443
2022-07-15 03:28:07,453 | DEBUG    | _make_request        | 433 | https://10.10.20.90:443 "POST /j_security_check HTTP/1.1" 200 0
2022-07-15 03:28:07,458 | DEBUG    | _new_conn            | 939 | Starting new HTTPS connection (1): 10.10.20.90:443
2022-07-15 03:28:08,250 | DEBUG    | _make_request        | 433 | https://10.10.20.90:443 "GET /dataservice/client/token HTTP/1.1" 200 None
2022-07-15 03:28:08,254 | DEBUG    | _new_conn            | 939 | Starting new HTTPS connection (1): 10.10.20.90:443
2022-07-15 03:28:09,067 | DEBUG    | _make_request        | 433 | https://10.10.20.90:443 "GET /dataservice/template/policy/definition/approute HTTP/1.1" 200 None
2022-07-15 03:28:09,071 | DEBUG    | _new_conn            | 939 | Starting new HTTPS connection (1): 10.10.20.90:443
2022-07-15 03:28:09,881 | DEBUG    | _make_request        | 433 | https://10.10.20.90:443 "GET /dataservice/template/policy/definition/approute/fbef9dbe-18de-442a-af74-19926492047c HTTP/1.1" 200 None
2022-07-15 03:28:09,886 | DEBUG    | _new_conn            | 939 | Starting new HTTPS connection (1): 10.10.20.90:443
2022-07-15 03:28:10,949 | DEBUG    | _make_request        | 433 | https://10.10.20.90:443 "PUT /dataservice/template/policy/definition/approute/fbef9dbe-18de-442a-af74-19926492047c HTTP/1.1" 200 None
2022-07-15 03:28:43,525 | INFO     | <module>             | 152 | Loading vManage login details from YAML

2022-07-15 03:28:43,534 | DEBUG    | _new_conn            | 939 | Starting new HTTPS connection (1): 10.10.20.90:443
2022-07-15 03:28:44,428 | DEBUG    | _make_request        | 433 | https://10.10.20.90:443 "POST /j_security_check HTTP/1.1" 200 0
2022-07-15 03:28:44,432 | DEBUG    | _new_conn            | 939 | Starting new HTTPS connection (1): 10.10.20.90:443
2022-07-15 03:28:45,272 | DEBUG    | _make_request        | 433 | https://10.10.20.90:443 "GET /dataservice/client/token HTTP/1.1" 200 None
2022-07-15 03:28:45,276 | DEBUG    | _new_conn            | 939 | Starting new HTTPS connection (1): 10.10.20.90:443
2022-07-15 03:28:46,077 | DEBUG    | _make_request        | 433 | https://10.10.20.90:443 "GET /dataservice/template/policy/definition/approute HTTP/1.1" 200 None
2022-07-15 03:28:46,081 | DEBUG    | _new_conn            | 939 | Starting new HTTPS connection (1): 10.10.20.90:443
2022-07-15 03:28:46,897 | DEBUG    | _make_request        | 433 | https://10.10.20.90:443 "GET /dataservice/template/policy/definition/approute/fbef9dbe-18de-442a-af74-19926492047c HTTP/1.1" 200 None
2022-07-15 03:28:46,901 | DEBUG    | _new_conn            | 939 | Starting new HTTPS connection (1): 10.10.20.90:443
2022-07-15 03:28:47,851 | DEBUG    | _make_request        | 433 | https://10.10.20.90:443 "PUT /dataservice/template/policy/definition/approute/fbef9dbe-18de-442a-af74-19926492047c HTTP/1.1" 200 None
2022-07-15 03:29:23,525 | INFO     | <module>             | 152 | Loading vManage login details from YAML

2022-07-15 03:29:23,534 | DEBUG    | _new_conn            | 939 | Starting new HTTPS connection (1): 10.10.20.90:443
2022-07-15 03:29:24,414 | DEBUG    | _make_request        | 433 | https://10.10.20.90:443 "POST /j_security_check HTTP/1.1" 200 0
2022-07-15 03:29:24,418 | DEBUG    | _new_conn            | 939 | Starting new HTTPS connection (1): 10.10.20.90:443
2022-07-15 03:29:25,203 | DEBUG    | _make_request        | 433 | https://10.10.20.90:443 "GET /dataservice/client/token HTTP/1.1" 200 None
